size smiles qed sa qed sa max_or_val 
19 C[S@@](=O)c1ccc(NC(=O)CN2CCCCC2)cc1 0.9154324207847271 0.8418737077968343 0.9154324207847271 0.8418737077968343 1
25 C[S@@](=O)c1ccc(Cc2ccn(-c3ccc4ccccc4c3)c2)cc1 0.5123388602274391 0.7963370053349601 0.5123388602274391 0.7963370053349601 0
19 C[S@@](=O)c1ccc(NC(=O)CN2CCCCC2)cc1 0.9154324207847271 0.8418737077968343 0.9154324207847271 0.8418737077968343 0
22 CNC(=O)c1ccc(-c2ccnc(-c3ccccc3)n2)cc1 0.8054296049616856 0.915439685739933 0.8054296049616856 0.915439685739933 1
16 COc1ccccc1Nc1nccc(C)n1 0.8542405647877102 0.9141645506766439 0.8542405647877102 0.9141645506766439 1
21 COc1ccc(Nc2nccc(N3CCCCC3)n2)cc1 0.9338756685310061 0.9004480344543246 0.9338756685310061 0.9004480344543246 1
16 Clc1ccc(NCc2ccccc2Br)nc1 0.9219776503439775 0.9002314403087508 0.9219776503439775 0.9002314403087508 0
22 CNC(=O)c1ccc(-c2ccnc(-c3ccccc3)n2)cc1 0.8054296049616856 0.915439685739933 0.8054296049616856 0.915439685739933 0
16 CCc1ccc(Nc2ccnc(N)n2)nc1 0.8153724332119899 0.8580936476666103 0.8153724332119899 0.8580936476666103 0
21 COc1ccc(Nc2ccnc(-c3ccccc3)n2)nc1 0.7931604228731318 0.8857996473575506 0.7931604228731318 0.8857996473575506 0
23 CN1CCN(c2nccc(Nc3cnn(C(C)(C)C)c3)n2)CC1 0.9335932052766315 0.8185108865006063 0.9335932052766315 0.8185108865006063 0
24 COc1cccc(Nc2nccc(Nc3ccc(C#N)cn3)n2)c1 0.7451436928560806 0.8591040962599613 0.7451436928560806 0.8591040962599613 0
19 Cc1ccc(-c2ccnc(Nc3ccccc3)n2)s1 0.7702526560626144 0.8907960575571049 0.7702526560626144 0.8907960575571049 0
25 Cc1cc(Nc2ccnc(N3CCN(c4ccccc4)CC3)n2)[nH]n1 0.7633804127336148 0.8292689432661204 0.7633804127336148 0.8292689432661204 0
16 COc1ccccc1Nc1nccc(C)n1 0.8542405647877102 0.9141645506766439 0.8542405647877102 0.9141645506766439 0
17 Cc1ccc(Nc2nccc(C(C)C)n2)cc1 0.8692695862121614 0.896474866974981 0.8692695862121614 0.896474866974981 0
19 Cc1ccc(C(=O)Nc2nccc(N(C)C)n2)cc1 0.9133253231081128 0.8930891272232877 0.9133253231081128 0.8930891272232877 0
21 COc1ccc(CCNc2nccc(C(C)(C)C)n2)cc1 0.9138864114299201 0.8860096107675687 0.9138864114299201 0.8860096107675687 0
20 COc1ccc(CNc2nccc(C(C)(C)C)n2)cc1 0.9255420126933955 0.8900947345779966 0.9255420126933955 0.8900947345779966 0
21 COc1ccc(Nc2nccc(C(C)(C)C)n2)cc1OC 0.9318262832779258 0.8852830990560189 0.9318262832779258 0.8852830990560189 0
19 CCc1cccc(Nc2nccc(N3CCC3)n2)c1 0.9103156797769812 0.8903786799347271 0.9103156797769812 0.8903786799347271 0
21 CNC(=O)c1ccc(Nc2nccc(C(C)(C)C)n2)cc1 0.9091668587126855 0.8833340274379817 0.9091668587126855 0.8833340274379817 0
19 CCc1ccc(Nc2nccc(C(C)(C)C)n2)cc1 0.8976276729181105 0.8899016090810525 0.8976276729181105 0.8899016090810525 0
21 COc1ccc(Nc2nccc(N3CCCCC3)n2)cc1 0.9338756685310061 0.9004480344543246 0.9338756685310061 0.9004480344543246 0
29 COc1cc2c(cc1Nc1ncc(C)c(Nc3ccccc3)n1)N(C(C)=O)CC2 0.681168902536631 0.846354726565606 0.681168902536631 0.846354726565606 1
26 CC(=O)N1CCc2ccc(Nc3nc(N4CCC4)c4cc[nH]c4n3)cc21 0.7610237481965307 0.8256954584356616 0.7610237481965307 0.8256954584356616 1
24 COc1cc2c(cc1Nc1ncc3cc[nH]c3n1)N(C(C)=O)CC2 0.7739724764072099 0.8180526167250035 0.7739724764072099 0.8180526167250035 1
33 COc1cc2c(cc1Nc1ncc(Cl)c(NCc3cccnc3)n1)N(C(=O)CN(C)C)CC2 0.5204891052597654 0.811508114432033 0.5204891052597654 0.811508114432033 0
30 CC(=O)N1CCc2cc(C)c(Nc3nc(Oc4ccccc4)c4cc[nH]c4n3)cc21 0.5191888374795104 0.8193046535979079 0.5191888374795104 0.8193046535979079 0
29 COc1cc2c(cc1Nc1ncc(C)c(Nc3ccccc3)n1)N(C(C)=O)CC2 0.681168902536631 0.846354726565606 0.681168902536631 0.846354726565606 0
26 CC(=O)N1CCc2ccc(Nc3nc(N4CCC4)c4cc[nH]c4n3)cc21 0.7610237481965307 0.8256954584356616 0.7610237481965307 0.8256954584356616 0
29 CC(=O)N1CCc2ccc(Nc3nc(N4CCN(C)CC4)c4cc[nH]c4n3)cc21 0.7135398853202846 0.8197885740434292 0.7135398853202846 0.8197885740434292 0
27 CCNc1nc(Nc2cc3c(cc2OC)CCN3C(C)=O)nc2[nH]ccc12 0.642357861538216 0.8118361984904142 0.642357861538216 0.8118361984904142 0
26 CNc1nc(Nc2cc3c(cc2OC)CCN3C(C)=O)nc2[nH]ccc12 0.6681235160847443 0.8109666933628965 0.6681235160847443 0.8109666933628965 0
24 COc1cc2c(cc1Nc1ncc3cc[nH]c3n1)N(C(C)=O)CC2 0.7739724764072099 0.8180526167250035 0.7739724764072099 0.8180526167250035 0
